Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
136,DeMarcus Cousins,LAC,30,5,0,5,32,26,9,22,40.9,2,5,40,6,8,75,3,8,11,1,5,0,2,12,41.7,0,0,-10
136,Marc Gasol,LAL,36,5,2,3,88,26,8,13,61.5,7,11,63.6,3,4,75,4,15,19,15,4,4,4,16,91.3,0,0,-31
136,Talen Horton-Tucker,LAL,20,4,1,3,48,26,11,24,45.8,1,5,20,3,5,60,2,12,14,2,3,1,0,3,45.8,1,0,-14
139,Dewayne Dedmon,MIA,31,4,0,4,57,25,10,18,55.6,1,3,33.3,4,5,80,8,10,18,3,6,0,2,10,51.1,0,0,-37
139,Taj Gibson,NYK,36,5,1,4,138,25,12,20,60,0,0,0,1,1,100,16,19,35,4,3,8,5,13,109,0,0,-7
141,Montrezl Harrell,LAL,27,4,0,4,39,23,8,14,57.1,0,0,0,7,9,77.8,5,5,10,0,2,2,0,3,39,0,0,-13
141,Nerlens Noel,NYK,27,5,1,4,92,23,5,10,50,0,0,0,13,16,81.3,10,10,20,1,4,4,3,15,65.5,0,0,-34
143,Alex Len,WAS,28,5,1,4,42,20,8,14,57.1,0,0,0,4,7,57.1,4,7,11,2,1,1,0,8,38.2,0,0,-41
144,Dwight Powell,DAL,29,7,3,4,52,19,7,8,87.5,0,0,0,5,6,83.3,5,8,13,6,1,2,0,8,48.6,0,0,10
144,Robert Williams III,BOS,23,3,1,2,46,19,9,14,64.3,0,0,0,1,2,50,8,7,15,2,1,1,9,7,69,0,0,14
144,Trevor Ariza,MIA,35,4,0,4,96,19,7,23,30.4,5,17,29.4,0,0,0,2,21,23,2,3,3,1,11,58.6,0,0,-49
147,Nemanja Bjelica,MIA,33,2,0,2,30,18,5,11,45.5,4,8,50,4,6,66.7,1,4,5,2,0,2,1,5,36,0,0,-20
148,Grant Williams,BOS,22,5,1,4,57,17,6,12,50,2,4,50,3,3,100,3,7,10,4,1,1,4,7,49,0,0,5
148,Payton Pritchard,BOS,23,5,1,4,67,17,6,17,35.3,3,10,30,2,2,100,2,7,9,12,3,2,0,4,48.8,0,0,-13
148,Solomon Hill,ATL,30,12,7,5,144,17,6,23,26.1,3,17,17.6,2,4,50,3,16,19,3,1,2,1,18,52.3,0,0,-68
148,Tyler Johnson,BKN,29,8,5,3,69,17,6,17,35.3,3,11,27.3,2,2,100,2,4,6,5,1,2,0,9,36.7,0,0,-2
152,Aaron Nesmith,BOS,21,5,1,4,75,16,5,18,27.8,4,14,28.6,2,2,100,2,11,13,1,2,1,1,7,37.1,0,0,-8
152,Reggie Perry,BKN,21,5,3,2,22,16,7,13,53.8,2,5,40,0,0,0,4,2,6,1,3,1,0,4,24.7,0,0,9
154,Andre Iguodala,MIA,37,4,0,4,71,15,6,11,54.5,3,7,42.9,0,0,0,3,9,12,5,5,4,2,8,49.9,0,0,-26
154,E'Twaun Moore,PHX,32,6,5,1,44,15,7,17,41.2,1,5,20,0,0,0,0,9,9,9,2,1,0,3,40.3,0,0,1
154,Tyus Jones,MEM,25,5,1,4,47,15,6,17,35.3,1,4,25,2,2,100,1,6,7,6,0,1,0,1,35.4,0,0,18
154,Willie Cauley-Stein,DAL,27,6,3,3,63,15,6,9,66.7,0,0,0,3,3,100,3,13,16,3,3,2,4,8,53.7,0,0,-27
158,Elijah Bryant,MIL,26,8,6,2,44,12,6,18,33.3,0,8,0,0,0,0,2,10,12,4,2,2,1,1,39.4,0,0,-21
158,Jeff Teague,MIL,33,7,4,3,45,12,4,14,28.6,1,5,20,3,3,100,0,3,3,5,2,0,0,3,21.1,0,0,-27
158,Zeke Nnaji,DEN,20,5,1,4,18,12,4,8,50,3,7,42.9,1,2,50,1,1,2,2,0,1,0,1,20.4,0,0,9
161,Cam Reddish,ATL,21,1,0,1,17,11,4,10,40,1,3,33.3,2,2,100,0,2,2,0,0,1,0,2,16.4,0,0,-11
